,TAMSIOS RUGINĖS DUONOS ,DARK RYE BREAD,kg,"Price, DKK",EAN code,TYPE
Biogami,"Ekologiški spelta kviečių, šviesių grikių ir miežių traiškyti grūdai “Mamuko košė”","Organic пшеницата спелта, елда и ечемик ярка краш зърно ""Mamuka каша""",240gr,35.00,4779032700290,MASHED FOR CHILDREN
Biogami,"Ekologiškų avižių, šviesių grikių ir miežių kruopyčių mišinys “Mamuko košė” (nuo 6 mėn)","Органични овес, елда и ечемик ярка kruopyčių смес ""Mamuka каша (от 6 месеца)",240gr,35.00,4779032700252,MASHED FOR CHILDREN
Biogami,Ekologiškų avižių ir kukurūzų kruopyčių mišinys “Mamuko košė” (nuo 6 mėn),"Organic овес и царевица kruopyčių смес ""Mamuka каша (от 6 месеца)",240gr,35.00,4779032700115,MASHED FOR CHILDREN
Biogami,"Ekologiškų avižių, šviesių grikių, miežių, spelta kviečių ir rugių kruopyčių mišinys “Mamuko košė)","Organic овес, светла елда, ечемик, пшеница спелта и ръж смес kruopyčių ""Mamuka каша)",240gr,35.00,4779032700238,MASHED FOR CHILDREN
Biogami,"Ekologiškų spelta kviečių, grikių ir ryžių kruopyčių mišinys “Mamuko košė” (nuo 6 mėn)","Organic пшеницата спелта, елда и ориз смес kruopyčių ""Mamuka каша (от 6 месеца)",240gr,35.00,4779032700122,MASHED FOR CHILDREN
,SAUSI PUSRYČIAI,CORN FLAKES,kg,,EAN code,
Nevėžis,Sausi pusryčiai “OHO” kviečiai su medumi,"Breakfast cereals OHO, wheat with honey",250g,25.00,4770149205050,CORN FLAKES
Nevėžis,Sausi pusryčiai “OHO” kviečiai su medumi,"Breakfast cereals OHO, wheat with honey",180g,22.00,4770149202431,CORN FLAKES
Nevėžis,Sausi pusryčiai “OHO” dribsniai su cinamonu,Breakfast cereals OHO flakes with cinnamon,250g,25.00,4770149205074,CORN FLAKES
Nevėžis,Sausi pusryčiai “OHO” braškių skonio dribsniai,Breakfast cereals OHO strawberry flakes,250g,25.00,4770149205326,CORN FLAKES
Nevėžis,"Sausi pusryčiai OHO “Trys draugai” (kakav. meškučiai, saldieji liūtukai ir karamėliniai krokodilai)","Breakfast cereals OHO ""Three Friends"" (cocoa. Teddy bears, lions and sweet candy crocodiles)",175g,23.00,4770149203414,CORN FLAKES
Nestle,Sausi pusryčiai “Nesquik” ,"Corn Flakes ""Nesquik""",250g,30.00,5900020000576,CORN FLAKES
Nestle,Sausi pusryčiai “Nesquik” Duo,"Corn Flakes ""Nesquik Duo",225g,30.00,5900020013491,CORN FLAKES
Nestle,Sausi pusryčiai “Nesquik” Duo,"Corn Flakes ""Nesquik Duo",460g,50.00,5900020013514,CORN FLAKES
,MARINUOTI/ RAUGINTI AGURKAI,Pickles,kg,,EAN code,
Kėdainių kons fabr,Marinuoti agurkai “Geras vaizdelis”,"Pickles ""good picture""",660g (330g),18.00,4770583201588,Pickles
Kėdainių kons fabr,Marinuoti agurkai “Geras vaizdelis”,"Pickles ""good picture""",880g (440g),20.00,4770583201106,Pickles
Kėdainių kons fabr,"Marinuotas agurkėlis ""After Party"" (labai įdomus produktas)","Pickles ""After Party"" (a very interesting product)",230g (60g),12.00,4770583215103,Pickles
Kėdainių kons fabr,Marinuoti agurkai “Kedainių”,"Pickled cucumbers Kédainiai """,660g (330g),18.00,4770583201892,Pickles
Kėdainių kons fabr,Marinuoti agurkai “Kedainių”,"Pickled cucumbers Kédainiai """,880g (440g),20.00,4770583201991,Pickles
Kėdainių kons fabr,Marinuoti agurkai,Pickles,660g (330g),18.00,4770583201335,Pickles
Kėdainių kons fabr,Marinuoti agurkai,Pickles,880g (440g),20.00,4770583201816,Pickles
Kėdainių kons fabr,Marinuoti agurkai,Pickles,"3kg (1,5kg)",55.00,4770583201687,Pickles
Kėdainių kons fabr,"Marinuoti agurkai, nepjaustyti, silpnai rūgštūs","Pickled cucumbers, whole, slightly acid","1,5kg (785g)",40.00,4770583201618,Pickles
Kėdainių kons fabr,"Marinuoti agurkai, nepjaustyti, silpnai rūgštūs","Pickled cucumbers, whole, slightly acid","3kg (1,5kg)",55.00,4770583201687,Pickles
Kėdainių kons fabr,Marinuoti agurkai “Močiutės”,"Pickles ""Grandma""",880g (440g),20.00,4770583201373,Pickles
Kėdainių kons fabr,"Marinuoti agurkėliai, silpnai rūgštūs","Pickles, slightly acid",480g (250g),16.00,4770583201717,Pickles
Kėdainių kons fabr,"Marinuoti agurkėliai, silpnai rūgštūs","Pickles, slightly acid",720,18.00,,Pickles
Spilva,"Marinuoti agurkėliai, 670g (Spilva)","Pickles, 670g (Spilva)",670,25.00,,Pickles
Sanitex,Marinuoti agurkai “Profi”,Pickled cucumbers sweet and sour “Profi”,4 kg,60.00,4771459047170,Pickles
Kėdainių kons fabr,Rauginti agurkai NAMINIAI kibirėlyje,Pickles DOMESTIC bucket,1.4kg (770g),30.00,4770583215837,Pickles
Kėdainių kons fabr,Šviežiai rauginti agurkai kibirėlyje,Fresh pickles bucket,1.5kg (760g),30.00,4770583215691,Pickles
Kėdainių kons fabr,Rauginti agurkai vakuume,Pickles vacuum,500g,16.00,,Pickles
Kėdainių kons fabr,Rauginti agurkai vakuume,Pickles vacuum,1000 g,20.00,4770583215660,Pickles
Kėdainių kons fabr,Rauginti “Naminiai” agurkai,"Tanned ""Pets"" cucumber",860g (470g),20.00,4770583205937,Pickles
,KONSERVUOTI POMIDORAI/ POMIDORAI IR PATISONAI/ PATISONAI,Canned tomatoes / tomato and patisony / patisony,kg,,EAN code,
Kėdainių kons fabr,Konservuoti “Naminiai” raudoni pomidorai,"Canned ""Pets"" red tomatoes",680g (340g),15.00,4770583201427,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,"Konservuoti “Naminiai” raudoni pomidorai, nepjastyti","Canned ""Pets"" red tomatoes, nepjastyti","1,6kg (800g)",25.00,4770583202066,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,"Konservuoti “Naminiai” raudoni pomidorai, nepjastyti","Canned ""Pets"" red tomatoes, nepjastyti","3kg (1,5kg)",55.00,4770583207238,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,"Konservuoti žali pomidorai, nepjaustyti","Canned green tomatoes, uncut",660g (330g),15.00,4770583207764,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,"Konservuoti žali pomidorai, nepjaustyti","Canned green tomatoes, uncut","3kg (1,5kg)",55.00,4770583201625,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,Konservuoti patisonai ir pomidorai,Canned tomatoes and patisson,900g (450g),20.00,4770583215868,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,"Konservuoti raudonieji pomidorai be acto, nepjaustyti, su baziliku","Preserved red tomatoes vinegar, whole, with Basil",680g (370g),20.00,4770583215516,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,Raudonieji pomidor nepjaustyti 3.0,Red tomato uncut 3.0,,49.00,,Canned tomatoes / tomato and patisony / patisony
Taste Land,Pomidorai savo sultyse,Tomatoes in own juice,660g (330g),16.00,4771459047439,Canned tomatoes / tomato and patisony / patisony
Kėdainių kons fabr,Konservuoti patisonai,,500g (250g),15.00,4770583215851,Canned tomatoes / tomato and patisony / patisony
,KONSERVUOTOS RŪGŠTYNĖS/,canned sorrel,kg,,EAN code,
Daumantų,Konservuotos rūgštynės,canned sorrel,280g,14.00,,canned sorrel
Kėdainių kons fabr,Konservuotos rūgštynės,canned sorrel,300g,14.00,4770583215844,canned sorrel
Kėdainių kons fabr,Konservuotos rūgštynės,canned sorrel,480g,16.00,4770583205135,canned sorrel
,RAUGINTI KOPŪSTA/,Sauerkraut,kg,,EAN code,
Kėdainių kons fabr,Rauginti kopūstai,sauerkraut,880g,25.00,4770583201755,Sauerkraut
Kvedarų ūkis,"Rauginti kopūstai, kibirėlyje","Sauerkraut, bucket",1000,27.00,,Sauerkraut
Kėdainių kons fabr,Rauginti kopūstai NAMINIAI kibirėlyje,Sauerkraut DOMESTIC bucket,880g,25.00,4770583205517,Sauerkraut
Norvelita,Juros kopustai su aliejumi,Sea kale with olive oil,240g,12.00,4770486165864,Sauerkraut
Norvelita,Marinuoti Jūros kopūstai su česnakų ir majonezo padažu,Marinated Sea kale with garlic and mayonnaise sauce,,12.00,4770486165185,Sauerkraut
,MARINUOTI/ KONSERVUOTI/ VIRTI BUROKĖLIAI,PICKLED / canned / cooked beets,kg,,EAN code,
Daumantų,"Marinuoti burokėliai Tradiciniai (tarkuoti, silpnai rūgštūs)","Pickled beets Traditional (grated, slightly acid)",500g (320g),15.00,4770491215639,PICKLED / canned / cooked beets
Kėdainių kons fabr,Marinuoti burokėliai,Pickled beets,480g,16.00,4770583201151,PICKLED / canned / cooked beets
Kėdainių kons fabr,Marinuoti burokėliai,Pickled beets,900g (495g),19.00,4770583202011,PICKLED / canned / cooked beets
Kėdainių kons fabr,"Konservuoti burokėliai , pjaustyti obuolių sultyse","Canned beets, chop apple juice",480g,16.00,4770583201267,PICKLED / canned / cooked beets
Kėdainių kons fabr,"Naminiai virti burokėliai (lupti, vakuume)","Domestic cooked beets (Peeled, vacuum)",500g,10.00,4770583205920,PICKLED / canned / cooked beets
Kauno vaisių ir daržovių fab.,Virti burokėliai,Boiled beetroot,500g,10.00,4779023971296,PICKLED / canned / cooked beets
,KONSERVUOTI ŽIRNELIAI/ KUKURŪZAI/ PUPELĖS,Canned peas / corn / BEANS,kg,,EAN code,
Kėdainių kons fabr,Konservuoti žalieji žirneliai,Canned green peas,690g (450g),16.00,4770583214687,Canned peas / corn / BEANS
Kėdainių kons fabr,Konservuoti kukurūzai skardinėje,Canned corn tin,340g (285g),10.00,4770583216070,Canned peas / corn / BEANS
Kėdainių kons fabr,Konservuotos pupelės padaže,Canned beans sauce,500g (250g),20.00,4770583214922,Canned peas / corn / BEANS
,MIŠRAINĖS/ / SALOTOS,Salad,kg,,EAN code,
Kėdainių kons fabr,GRYBAUTOJŲ mišrainė,mushroom salad,480g,30.00,4770583205265,Salad
Kėdainių kons fabr,Baltoji mišrainė,Olivier salad,500g,16.00,4770583215684,Salad
Kėdainių kons fabr,Burokėlių mišrainė su žirneliais VINEGRET,Beet salad with peas Appetizers,480g,16.00,4770583205500,Salad
Kėdainių kons fabr,Borikėlių salotos su svogūnais,Borikėlių salad with onions,480g,16.00,4770583205173,Salad
Kėdainių kons fabr,Aštrių morkų salotos,The sharp carrot salad,480g,17.00,4770583205685,Salad
Kėdainių kons fabr,Aštrios agurkų salotos,Spicy cucumber salad,480g,17.00,4770583205807,Salad
Kėdainių kons fabr,Saldžiarūgštės agurkų salotos su svogūnais,Sweet and sour cucumber salad with onions,480g,17.00,4770583205180,Salad
Kėdainių kons fabr,Aštrios burokėlių salotos,Spicy beetroot salad,480g,17.00,4770583201212,Salad
Kėdainių kons fabr,Švediškos salotos,Swedish salad,680g,16.00,4770583205302,Salad
,PARUOŠTAS MAISTAS STIKLAINIUOSE,ALLREADY MADE FOOD IN GLASS,kg,,EAN code,
Kėdainių kons fabr,Plovas su kiauliena,Pilaf with pork,480g,25.00,4770583214410,ALLREADY MADE FOOD IN GLASS
Kėdainių kons fabr,Troškinys daržovių su grybais,Vegetable stew with mushrooms,480g,20.00,4770583201298,ALLREADY MADE FOOD IN GLASS
Kėdainių kons fabr,Grikių košė su mėsa,Buckwheat porridge with meat,480g,25.00,4770583214595,ALLREADY MADE FOOD IN GLASS
,UŽKANDA,SNACK,kg,,EAN code,
Kėdainių kons fabr,Žirniai su rūkytomis ausytėmis “Užkanda prie alaus”,"Peas with smoked ears ""Snack to beer""",520g,25.00,4770583215899,SNACK
Kėdainių kons fabr,Žirniai su spirgučiais “Užkanda prie alaus”,"Peas with bacon ""Snack to beer""",520g,25.00,4770583215882,SNACK
Gerovė,Žirniai su kumpiu (tinka prie alaus),Peas with ham (for beer),500g,25.00,4770321107158,SNACK
Gerovė,Užkandis aštrus,snack spicy,500g,16.00,4770321106151,SNACK
,KONSERVAI,CANS,kg,,EAN code,
Biovela,“Turistų pusryčiai” iš kiaulienos,Tourist breakfast (pork),240gr,18.00,4770118402169,CANS
Biovela,Troškintos kiaulienos konservas,Stewed pork preserves,240g,18.00,,CANS
Biovela,Kapotas kiaulienos kumpis,Chopped pork ham,240gr,24.00,4770118402206,CANS
Biovela,Kapotas jautienos kumpis,Chopped beef ham,240g,25.00,4770118402145,CANS
Biovela,Kapotas elnienos kumpis,Chopped venison ham,240g,55.00,4770118402176,CANS
Biovela,Troškinta jautiena,Steamed beef meat,240gr,24.00,4770118402152,CANS
Biovela,Grikiai su mėsa,Buckwheat with meat,240gr,18.00,4770118402121,CANS
Biovela,Vištienos kumpeliai drebučiuose,Chicken thigh in aspic,240gr,20.00,4770118402220,CANS
Biovela,Kepenų paštetas,Lived pate,240gr,18.00,4770118402190,CANS
Biovela,Kapotas šernienos kumpis,,240gr,55.00,4770118402183,CANS
,SRIUBOS STIKLAINIUOSE,SOUPS Jars,kg,,EAN code,
Kėdainių kons fabr,Burokėlių sriuba,Beetroot soup,480g,20.00,4770583214014,SOUPS Jars
Kėdainių kons fabr,Barščiai su baravykais,Borsch with ceps,480g,25.00,4770583205111,SOUPS Jars
Kėdainių kons fabr,Barščiai ukrainietiški,Ukrainian Borsch,480g,20.00,4770583205845,SOUPS Jars
Kėdainių kons fabr,Barščiai su raugintais kopūstais,Borsch with sauerkraut,480g,20.00,4770583205241,SOUPS Jars
Kėdainių kons fabr,Barščiai su šviežiais kopūstais,Borsch with fresh cabbage,480g,20.00,4770583214021,SOUPS Jars
Kėdainių kons fabr,Rūgštynių sriuba su rūkyta šonine,Sorrel soup with smoked bacon,480g,20.00,4770583214717,SOUPS Jars
Kėdainių kons fabr,Charčio sriuba,Charco soup,480g,25.00,4770583214755,SOUPS Jars
Kėdainių kons fabr,Guliašo sriuba,goulash soup,480g,25.00,4770583214540,SOUPS Jars
Kėdainių kons fabr,Raugintų agurkų sriuba,Pickle soup,480g,20.00,4770583205203,SOUPS Jars
Kėdainių kons fabr,Sriuba su grybais,The soup with mushrooms,480g,25.00,4770583214038,SOUPS Jars
Kėdainių kons fabr,Šiupinys iš šviežių kopūstų su grybais,Medley of fresh cabbage with mushrooms,480g,20.00,4770583214076,SOUPS Jars
Kėdainių kons fabr,Šiupininė sriuba su mėsa,Minestrone soup with meat,480g,25.00,4770583214083,SOUPS Jars
Kėdainių kons fabr,v,v,480g,20.00,4770583214793,SOUPS Jars
Kėdainių kons fabr,Vegetariška šviežių kopūstų sriuba,Vegetarian cabbage soup,480g,20.00,4770583214069,SOUPS Jars
Kėdainių kons fabr,Vegetariška šviežių daržovių sriuba,Vegetarian fresh vegetable soup,480g,20.00,4770583214311,SOUPS Jars
Kėdainių kons fabr,Raugintų kopūstų sriuba su rūkyta šonine,Cabbage soup with smoked bacon,480g,25.00,4770583214960,SOUPS Jars
Kėdainių kons fabr,Špinatų sriuba su rūkyta šonine,Spinach soup with smoked bacon,480g,25.00,4770583214984,SOUPS Jars
Kėdainių kons fabr,Žirnių sriuba su rūkyta šonine,Pea soup with smoked bacon,480g,25.00,4770583214137,SOUPS Jars
Kėdainių kons fabr,Burokėlių sriuba,Beetroot soup,280g,16.00,4770583215714,SOUPS Jars
Kėdainių kons fabr,Guliašo sriuba,goulash soup,280g,16.00,4770583215738,SOUPS Jars
Kėdainių kons fabr,Raugintų kopūstų sriuba,Cabbage Soup,280g,16.00,4770583215721,SOUPS Jars
Delika,Barščiai su baravykais,Borsch with ceps,480g,24.00,4770583215615,SOUPS Jars
Delika,Žirnių sriuba su rūkyta šonine,Pea soup with smoked bacon,480g,20.00,4770583215677,SOUPS Jars
Delika,Šviežių kapustų sriuba,Fresh Soup Kapusta,480g,20.00,4770583215592,SOUPS Jars
Delika,Rosolniks,Rosolniks,480g,25.00,4770583215639,SOUPS Jars
Delika,Guliašo sriuba,goulash soup,480g,25.00,4770583215585,SOUPS Jars
,GRYBAI STIKLAINIUOSE,MUSHROOMS Jars,kg,,EAN code,
Kėdainių kons fabr,"KELMUČIAI konservuoti, nepjaustyti be acto, silpname druskos užpile","Honey mushrooms preserved, uncut vinegar, a mild salt pour",500g,30.00,4770583213215,MUSHROOMS Jars
Kėdainių kons fabr,"KELMUČIAI marinuoti, nepjaustyti. Silpnai rūgštūs","Pickled honey mushrooms, uncut. Slightly acidic",500g,30.00,4770583201830,MUSHROOMS Jars
,RYŽIAI/ GRIKIAI,RICE / BUCKWHEAT,kg,,EAN code,
Galinta,Ryžiai apvaliagrūdžiai,rice apvaliagrūdžiai,800g,15.00,4770205112315,RICE / BUCKWHEAT
Galinta,Ryžiai “Basmati”,"Rice ""Basmati""",800g,28.00,4770205112384,RICE / BUCKWHEAT
Galinta,Ryžiai rudi ilgadrūdžiai,Rice brown ilgadrūdžiai,800g,15.00,4770205112414,RICE / BUCKWHEAT
Galinta,Ryžiai “Delicat” ilgagrūdžiai (4x100gr),"Rice ""Delicato"" long grain (4x100gr)",400g,16.00,4770205112254,RICE / BUCKWHEAT
Galinta,Ružiai plikyti ir laukiniai,Ružiai steamed and wild,400g,16.00,4770205112360,RICE / BUCKWHEAT
Galinta,Ryžiai “Basmati” ilgagrūdžiai,Rice Basmati Long Grain,400g,16.00,4770205112339,RICE / BUCKWHEAT
Galinta,Ryžiai “Jasmine”,Rice Jasmine,800g,18.00,4770205112391,RICE / BUCKWHEAT
Limor,Ryžiai ilgagrūdžiai (8x100gr),Long Grain Rice (8x100gr),800g,12.00,4770205124509,RICE / BUCKWHEAT
Limor,Ryžiai ilgagrūdžiai,Long Grain rice,800g,14.00,4770205124424,RICE / BUCKWHEAT
Limor,Ryžiai ilgagrūdžiai (4x100gr),Long Grain Rice (4x100gr),400g,10.00,4470205124493,RICE / BUCKWHEAT
Limor,Ryžiai plikyti,rice steamed,800g,14.00,4770205122291,RICE / BUCKWHEAT
Limor,Ryžiai plikyti (4x100gr),Rice steamed (4x100gr),400g,10.00,4770205114142,RICE / BUCKWHEAT
Limor,Ryžiai skaldyti,rice broken,800g,12.00,4770205124936,RICE / BUCKWHEAT
Galinta,Grikių košė (greitai paruošiama),Buckwheat porridge (prepared quickly),500g,25.00,4770205125315,RICE / BUCKWHEAT
Galinta,Grikių košė “Deluxe”,"Buckwheat porridge ""deluxe""",300g,15.00,4770205126343,RICE / BUCKWHEAT
Galinta,Grikių košė su baravykų padažu,Buckwheat porridge with mushroom sauce,340g,15.00,4770205126602,RICE / BUCKWHEAT
Galinta,Grikių košė su voveračių padažu,Buckwheat porridge with sauce voveračių,340g,15.00,4770205126572,RICE / BUCKWHEAT
Galinta,Grikių košė su pomidorų padažu,Buckwheat porridge with tomato sauce,340g,15.00,4770205126596,RICE / BUCKWHEAT
Galinta,Grikių kruopos GALINTA (4x100gr),Buckwheat enabled (4x100gr),400g,19.00,4770205124387,RICE / BUCKWHEAT
Galinta,Grikių kruopos GALINTA,Buckwheat GALINTA,800g,28.00,4770205121584,RICE / BUCKWHEAT
Galinta,Grikių kruopos GALINTA,Buckwheat GALINTA,1 kg,35.00,4770205114203,RICE / BUCKWHEAT
Limor,Grikių kruopos,Buckwheat groats,800g,15.00,4770205121638,RICE / BUCKWHEAT
Limor,Grikių kruopos (4x100g),Buckwheat (4x100g),400g,16.00,4770205124516,RICE / BUCKWHEAT
,MAKARONAI,PASTA,kg,,EAN code,
Amber pasta,Makaronai “Pasaka” cellentani,"Pasta ""Fairy Tale"" cellentani",400g,9.00,4770374192095,PASTA
Amber pasta,Makaronai “Pasaka” pannette rigate,"Pasta ""Fairy Tale"" pannette Rigatti",400g,9.00,4770374192057,PASTA
Amber pasta,Makaronai “Pasaka” fusilli (5 cereali),"Pasta ""Fairy Tale"" fusilli (5 CEREALI)",400g,9.00,4770374192088,PASTA
Amber pasta,Makaronai “Pasaka” pipette rigate,"Pasta ""Fairy Tale"" pipette Rigatti",400g,9.00,4770374192101,PASTA
Amber pasta,Makaronai “Pasaka” mini conchiglie rigate,"Pasta ""Fairy Tale"" mini Conchiglie Rigatti",400g,9.00,4770374192071,PASTA
Amber pasta,Makaronai “Pasaka” insalatonde,"Pasta ""Fairy Tale"" insalatonde",400g,9.00,4770374192064,PASTA
Amber pasta,Makaronai “Pasaka” vaikiški,"Pasta ""Fairy Tale"" children",400g,9.00,4770457192042,PASTA
Amber pasta,Makaronai “Pasaka” spaghetti,"Pasta ""Fairy Tale"" spaghetti",400g,9.00,4770374192118,PASTA
Amber pasta,Makaronai “pasaka”,"Pasta ""fairy tale""",400g,9.00,4770374192125,PASTA
Amber pasta,"Makaronai ""Gintariniai"" kriauklytes","Pasta ""Amber"" kriauklytes",400g,9.00,4770457191069,PASTA
Amber pasta,"Makaronai ""Gintariniai"" smulkios lazdeles","Pasta ""Amber"" small sticks",400g,9.00,4770457191021,PASTA
,PUPELĖS/ ŽIRNIAI,BEANS / PEAS,kg,,EAN code,
Galinta,Pupelės baltos,white beans,500g,15.00,4770205121805,BEANS / PEAS
Galinta,Pupelės tamsiai margos,Beans dark speckled,500g,15.00,4770205122161,BEANS / PEAS
Galinta,Pupelės šviesiai margos,Beans light speckled,500g,15.00,4770205122154,BEANS / PEAS
Galinta,Pupelės raudonos,red beans,500g,15.00,4770205122147,BEANS / PEAS
Limor,Pupelės baltosios,White beans,400g,14.00,4770205124394,BEANS / PEAS
Galinta,Žirniai skaldyti,split peas,800g,16.00,4770205121713,BEANS / PEAS
Galinta,Žirniai apvalūs,Peas round,800g,16.00,4770205121577,BEANS / PEAS
Limor,Žirniai apvalūs,Peas round,800g,14.00,4770205121645,BEANS / PEAS
Limor,Žirniai skaldyti,split peas,800g,16.00,4770205124578,BEANS / PEAS
Skanėja,Avinžirniai,chickpeas,500g,12.00,4770351195255,BEANS / PEAS
,KRUOPOS/ MIŠINIAI,GROATS / Mixer,kg,,EAN code,
Galinta,Manų kruopos “Galinta”,"Semolina Galinta """,800g,18.00,4770205121607,GROATS / Mixer
Biglio dribs. Gamyba,Manų kruopos “Pasaka”,"Semolina ""Fairy Tale""",800g,18.00,4779033860450,GROATS / Mixer
Limor,Manų kruopos,Semolina,800g,18.00,4770205124165,GROATS / Mixer
